,State,District,Persons,Males,Females,Growth..1991...2001.,Persons..literate,Males..Literate,Females..Literate,Total.Educated,Primary,Middle,Matric.Higher.Secondary.Diploma,Graduate.and.Above,Total.workers
181,HP,"District Solan (09), Himachal Pradesh (02)",500557,270291,230266,30.64,332410,199444,132966,332410,88573,58832,94957,22900,263445
182,HP,"District Sirmaur (10), Himachal Pradesh (02)",458593,241299,217294,20.72,274643,163415,111228,274643,82376,41188,54470,12755,225872
183,HP,"District Shimla (11), Himachal Pradesh (02)",722502,380996,341506,16.9,504330,293745,210585,504330,114805,78995,153284,48464,370223
184,HP,"District Kinnaur (12), Himachal Pradesh (02)",78334,42173,36161,17.79,51913,31589,20324,51913,14945,9158,11537,2069,47811
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
185,Jharkhand,"District Garhwa * (01), Jharkhand (20)",1035464,535332,500132,29.05,317078,228151,88927,317078,92857,48324,51170,10916,402921
186,Jharkhand,"District Palamu (02), Jharkhand (20)",2098359,1084417,1013942,26.8,750293,510338,239955,750293,216865,107506,150002,35898,793658
187,Jharkhand,"District Chatra * (03), Jharkhand (20)",791434,404067,387367,29.05,270256,177950,92306,270256,81157,35306,39319,8712,299108
188,Jharkhand,"District Hazaribagh (04), Jharkhand (20)",2277475,1167793,1109682,24.02,1069890,683590,386300,1069890,282228,166762,214238,65684,790049
189,Jharkhand,"District Kodarma * (05), Jharkhand (20)",499403,249549,249854,26.32,207495,140424,67071,207495,59545,25390,34863,10167,175010
